source,legend,value,target
Shooting,UA,0.060882951,Ukraine (UA)
Shooting,US,0.175465939,United States (US)
Swimming,AR,4.374473657,Argentina (AR)
Swimming,AU,14.46303087,Australia (AU)
Swimming,BR,4.364012071,Brazil (BR)
Swimming,CA,13.10014671,Canada (CA)
Swimming,CH,4.556658118,Switzerland (CH)
Swimming,CO,4.565042543,Colombia (CO)
Swimming,CU,11.71005445,Cuba (CU)
Swimming,DE,2.86659959,Germany (DE)
Swimming,DK,11.39240819,Denmark (DK)
Swimming,ES,9.493626089,Spain (ES)
Swimming,FR,6.511205355,France (FR)
Swimming,GB,6.64990659,Great Britain (GB)
Swimming,GR,4.615991445,Greece (GR)
Swimming,HR,4.687590145,Croatia (HR)
Swimming,HU,28.05154579,Hungary (HU)
Swimming,IR,2.377376376,Iran (IR)
Swimming,IT,12.16283579,Italy (IT)
Swimming,JM,13.73919893,Jamaica (JM)
Swimming,JP,4.335397455,Japan (JP)
Swimming,KZ,4.81566351,Kazakhstan (KZ)
Swimming,KE,1.936947932,Kenya (KE)
Swimming,KR,2.304026609,South Korea (KR)
Swimming,NL,5.654894946,Netherlands (NL)
Swimming,NZ,8.836520897,New Zealand (NZ)
Swimming,RU,1.567489919,Russia (RU)
Swimming,SE,8.353346388,Sweden (SE)
Swimming,UA,1.10015125,Ukraine (UA)
Swimming,US,22.06915157,United States (US)
Swimming,UZ,1.96512984,Uzbekistan (UZ)
Swimming,ZA,8.523025814,South Africa (ZA)
Synchronized swimming,AR,0.038905337,Argentina (AR)
Synchronized swimming,BR,0.018080239,Brazil (BR)
Synchronized swimming,CA,0.024033652,Canada (CA)
Synchronized swimming,CH,0.016820267,Switzerland (CH)
Synchronized swimming,CO,0.011945222,Colombia (CO)
Synchronized swimming,DE,0.008819659,Germany (DE)
Synchronized swimming,ES,1.044612707,Spain (ES)
Synchronized swimming,FR,0.042747132,France (FR)
Synchronized swimming,GB,0.016645264,Great Britain (GB)
Synchronized swimming,HU,0.017108016,Hungary (HU)
Synchronized swimming,IT,0.106962582,Italy (IT)
Synchronized swimming,JP,0.063797777,Japan (JP)
Synchronized swimming,KZ,0.112244467,Kazakhstan (KZ)
Synchronized swimming,RU,0.45393167,Russia (RU)
Synchronized swimming,UA,0.037257753,Ukraine (UA)
Synchronized swimming,US,0.008607988,United States (US)
Table tennis,AR,0.049297208,Argentina (AR)
Table tennis,AU,0.267577233,Australia (AU)
Table tennis,BR,0.311350054,Brazil (BR)
Table tennis,CA,0.21264646,Canada (CA)
Table tennis,CH,0.080607188,Switzerland (CH)
Table tennis,CO,0.079322984,Colombia (CO)
Table tennis,DE,0.772325738,Germany (DE)
Table tennis,DK,0.185650767,Denmark (DK)
Table tennis,ES,0.065810652,Spain (ES)
Table tennis,FR,0.207079354,France (FR)
Table tennis,GB,0.17029518,Great Britain (GB)
Table tennis,GR,0.059663677,Greece (GR)
Table tennis,HR,0.238545389,Croatia (HR)
Table tennis,HU,0.451444579,Hungary (HU)
Table tennis,IR,0.546396729,Iran (IR)
Table tennis,IT,0.047313658,Italy (IT)
Table tennis,JP,7.80161391,Japan (JP)
Table tennis,KZ,0.026028478,Kazakhstan (KZ)
Table tennis,KR,0.448658168,South Korea (KR)
Table tennis,NL,0.179976079,Netherlands (NL)
Table tennis,NZ,0.129089963,New Zealand (NZ)
Table tennis,RU,0.045145445,Russia (RU)
Table tennis,SE,0.373347874,Sweden (SE)
Table tennis,UA,0.060278831,Ukraine (UA)
Table tennis,US,0.127506842,United States (US)
Table tennis,ZA,0.011722488,South Africa (ZA)
Taekwondo,AR,0.004528791,Argentina (AR)
Taekwondo,AU,0.054658222,Australia (AU)
Taekwondo,BR,0.018785258,Brazil (BR)
Taekwondo,CA,0.032761827,Canada (CA)
Taekwondo,CH,0.04132623,Switzerland (CH)
Taekwondo,CO,0.126547672,Colombia (CO)
Taekwondo,DE,0.054259024,Germany (DE)
Taekwondo,ES,0.301339321,Spain (ES)
Taekwondo,FR,0.134638444,France (FR)
Taekwondo,GB,0.561749941,Great Britain (GB)
Taekwondo,GR,0.08150226,Greece (GR)
Taekwondo,HR,0.758557574,Croatia (HR)
Taekwondo,IR,4.379790849,Iran (IR)
Taekwondo,IT,0.002641108,Italy (IT)
Taekwondo,JP,0.02681676,Japan (JP)
Taekwondo,KR,0.26361879,South Korea (KR)
Taekwondo,NL,0.071357198,Netherlands (NL)
Taekwondo,RU,0.057847186,Russia (RU)
Taekwondo,SE,0.259292731,Sweden (SE)
Taekwondo,US,0.031233581,United States (US)
Taekwondo,UZ,0.180242326,Uzbekistan (UZ)
Tennis,AR,38.17089307,Argentina (AR)
Tennis,AU,2.796820113,Australia (AU)
Tennis,BR,2.544841306,Brazil (BR)
Tennis,CA,4.817298606,Canada (CA)
Tennis,CH,5.925154111,Switzerland (CH)
Tennis,CO,3.943104557,Colombia (CO)
Tennis,CU,2.421653284,Cuba (CU)
Tennis,DE,4.665279464,Germany (DE)
Tennis,DK,4.569231686,Denmark (DK)
Tennis,ES,19.30775606,Spain (ES)
Tennis,FR,5.321992156,France (FR)
Tennis,GB,7.029426736,Great Britain (GB)
Tennis,GR,3.554122482,Greece (GR)
Tennis,HR,5.648431593,Croatia (HR)
Tennis,HU,2.083402746,Hungary (HU)
Tennis,IR,0.615586155,Iran (IR)
Tennis,IT,5.557189281,Italy (IT)
Tennis,JM,3.240393954,Jamaica (JM)
Tennis,JP,6.987534085,Japan (JP)
Tennis,KZ,1.340407345,Kazakhstan (KZ)
Tennis,KE,1.150288503,Kenya (KE)
Tennis,KR,0.346596824,South Korea (KR)
Tennis,NL,2.05756321,Netherlands (NL)
Tennis,NZ,2.194504356,New Zealand (NZ)
Tennis,RU,0.927186537,Russia (RU)
Tennis,SE,2.342103394,Sweden (SE)
Tennis,UA,1.544072222,Ukraine (UA)
Tennis,US,2.624428746,United States (US)
Tennis,UZ,0.707715338,Uzbekistan (UZ)
Tennis,ZA,2.047319083,South Africa (ZA)
Trampolining,AR,0.006040602,Argentina (AR)
Trampolining,AU,0.027153195,Australia (AU)
Trampolining,BR,0.002832671,Brazil (BR)
Trampolining,CA,0.526951095,Canada (CA)
Trampolining,DE,0.004408091,Germany (DE)
Trampolining,FR,0.01129295,France (FR)
Trampolining,GB,0.027899799,Great Britain (GB)
Trampolining,IT,0.003326451,Italy (IT)
Trampolining,JP,0.005813893,Japan (JP)
Trampolining,NZ,0.022806633,New Zealand (NZ)
Trampolining,RU,0.002605852,Russia (RU)
Trampolining,US,0.017558407,United States (US)
Trampolining,UZ,0.223230906,Uzbekistan (UZ)
Trampolining,ZA,0.054589403,South Africa (ZA)
Triathlon,AR,0.02057539,Argentina (AR)
Triathlon,AU,0.047000056,Australia (AU)
Triathlon,BR,0.010138403,Brazil (BR)
Triathlon,CA,0.053038041,Canada (CA)
Triathlon,CH,0.36649515,Switzerland (CH)
Triathlon,DE,0.019963233,Germany (DE)
Triathlon,DK,0.031646996,Denmark (DK)
Triathlon,ES,0.126425508,Spain (ES)
Triathlon,FR,0.220458608,France (FR)
Triathlon,GB,0.36074913,Great Britain (GB)
Triathlon,GR,0.019611037,Greece (GR)
Triathlon,HU,0.260583206,Hungary (HU)
Triathlon,IT,0.068592313,Italy (IT)
Triathlon,JP,0.015466802,Japan (JP)
Triathlon,NL,0.038678159,Netherlands (NL)
Triathlon,NZ,0.123265359,New Zealand (NZ)
Triathlon,RU,0.002922529,Russia (RU)
Triathlon,SE,0.062032989,Sweden (SE)
Triathlon,UA,0.01085303,Ukraine (UA)
Triathlon,US,0.02091246,United States (US)
Triathlon,ZA,0.065333866,South Africa (ZA)
Water polo,AR,0.010756308,Argentina (AR)
Water polo,AU,0.08520191,Australia (AU)
Water polo,BR,0.028970177,Brazil (BR)
Water polo,ES,0.134967345,Spain (ES)
Water polo,FR,0.005214405,France (FR)
Water polo,GB,0.006071182,Great Britain (GB)
Water polo,GR,0.181415182,Greece (GR)
Water polo,HR,0.895251531,Croatia (HR)
Water polo,HU,1.54520302,Hungary (HU)
Water polo,IT,0.500153369,Italy (IT)
Water polo,JP,0.0350144,Japan (JP)
Water polo,NL,0.018103357,Netherlands (NL)
Water polo,NZ,0.022813505,New Zealand (NZ)
Water polo,SE,0.018477798,Sweden (SE)
Water polo,US,0.038355707,United States (US)
Weightlifting,AR,0.116259709,Argentina (AR)
Weightlifting,AU,0.163977744,Australia (AU)
Weightlifting,BR,0.093467512,Brazil (BR)
Weightlifting,CA,0.256078967,Canada (CA)
Weightlifting,CH,0.041825843,Switzerland (CH)
Weightlifting,CO,0.464887786,Colombia (CO)
Weightlifting,DE,0.131393958,Germany (DE)
Weightlifting,DK,0.099226119,Denmark (DK)
Weightlifting,ES,1.122394851,Spain (ES)
Weightlifting,FR,0.09685009,France (FR)
Weightlifting,GB,0.174995076,Great Britain (GB)
Weightlifting,GR,0.019857489,Greece (GR)
Weightlifting,HU,0.017015451,Hungary (HU)
Weightlifting,IR,8.801786391,Iran (IR)
Weightlifting,IT,0.112666108,Italy (IT)
Weightlifting,JP,0.599579019,Japan (JP)
Weightlifting,KZ,1.235690834,Kazakhstan (KZ)
Weightlifting,KR,0.085158053,South Korea (KR)
Weightlifting,NL,0.14045877,Netherlands (NL)
Weightlifting,NZ,0.30102903,New Zealand (NZ)
Weightlifting,RU,0.031910804,Russia (RU)
Weightlifting,SE,0.113640422,Sweden (SE)
Weightlifting,UA,0.053967463,Ukraine (UA)
Weightlifting,US,0.173446997,United States (US)
Weightlifting,UZ,0.605229662,Uzbekistan (UZ)
Weightlifting,ZA,0.011720068,South Africa (ZA)
Wrestling,AR,0.025110875,Argentina (AR)
Wrestling,AU,0.167273427,Australia (AU)
Wrestling,BR,0.04499752,Brazil (BR)
Wrestling,CA,0.560669009,Canada (CA)
Wrestling,CH,0.095386061,Switzerland (CH)
Wrestling,CO,0.649344306,Colombia (CO)
Wrestling,CU,10.49485329,Cuba (CU)
Wrestling,DE,0.167349378,Germany (DE)
Wrestling,DK,0.640108609,Denmark (DK)
Wrestling,ES,0.039009562,Spain (ES)
Wrestling,FR,0.104903126,France (FR)
Wrestling,GB,0.127512186,Great Britain (GB)
Wrestling,GR,0.09372161,Greece (GR)
Wrestling,HR,0.646227553,Croatia (HR)
Wrestling,HU,1.261128834,Hungary (HU)
Wrestling,IR,11.6706756,Iran (IR)
Wrestling,IT,0.116869558,Italy (IT)
Wrestling,JP,6.207958311,Japan (JP)
Wrestling,KZ,2.206987152,Kazakhstan (KZ)
Wrestling,KR,0.063561881,South Korea (KR)
Wrestling,NL,0.152250613,Netherlands (NL)
Wrestling,NZ,0.114587233,New Zealand (NZ)
Wrestling,RU,1.206640287,Russia (RU)
Wrestling,SE,0.8242898,Sweden (SE)
Wrestling,UA,0.712020207,Ukraine (UA)
Wrestling,US,0.397768769,United States (US)
