source,legend,value,target
Basketball,UA,0.070560633,Ukraine (UA)
Basketball,US,2.549427585,United States (US)
Basketball,ZA,0.230532735,South Africa (ZA)
Beach volleyball,AR,0.34638417,Argentina (AR)
Beach volleyball,AU,0.548441167,Australia (AU)
Beach volleyball,BR,0.925882056,Brazil (BR)
Beach volleyball,CA,1.514110486,Canada (CA)
Beach volleyball,CH,3.27719682,Switzerland (CH)
Beach volleyball,CO,0.196114061,Colombia (CO)
Beach volleyball,DE,1.770496177,Germany (DE)
Beach volleyball,DK,0.36211092,Denmark (DK)
Beach volleyball,ES,0.553029241,Spain (ES)
Beach volleyball,FR,0.182392906,France (FR)
Beach volleyball,GB,0.142170526,Great Britain (GB)
Beach volleyball,GR,0.166597332,Greece (GR)
Beach volleyball,HR,0.082958776,Croatia (HR)
Beach volleyball,HU,0.02567752,Hungary (HU)
Beach volleyball,IR,0.017804881,Iran (IR)
Beach volleyball,IT,1.42856287,Italy (IT)
Beach volleyball,JP,0.003589742,Japan (JP)
Beach volleyball,KR,0.015927453,South Korea (KR)
Beach volleyball,NL,1.363525757,Netherlands (NL)
Beach volleyball,NZ,0.15195331,New Zealand (NZ)
Beach volleyball,RU,0.038847251,Russia (RU)
Beach volleyball,SE,0.124576983,Sweden (SE)
Beach volleyball,UA,0.009052396,Ukraine (UA)
Beach volleyball,US,2.733954754,United States (US)
Beach volleyball,ZA,0.069741664,South Africa (ZA)
Boxing,AR,0.306222366,Argentina (AR)
Boxing,AU,0.197880775,Australia (AU)
Boxing,BR,0.290553543,Brazil (BR)
Boxing,CA,0.31880907,Canada (CA)
Boxing,CH,0.105016301,Switzerland (CH)
Boxing,CO,0.048942585,Colombia (CO)
Boxing,CU,2.006591087,Cuba (CU)
Boxing,DE,0.089583013,Germany (DE)
Boxing,DK,0.030291994,Denmark (DK)
Boxing,ES,0.107180973,Spain (ES)
Boxing,FR,0.876068262,France (FR)
Boxing,GB,1.147705697,Great Britain (GB)
Boxing,GR,0.047493214,Greece (GR)
Boxing,HR,1.15054889,Croatia (HR)
Boxing,HU,0.493757586,Hungary (HU)
Boxing,IR,1.509758113,Iran (IR)
Boxing,IT,1.130059223,Italy (IT)
Boxing,JP,0.001861881,Japan (JP)
Boxing,KZ,14.49247295,Kazakhstan (KZ)
Boxing,KE,0.048742233,Kenya (KE)
Boxing,KR,0.025017599,South Korea (KR)
Boxing,NL,0.455053823,Netherlands (NL)
Boxing,NZ,0.195257621,New Zealand (NZ)
Boxing,RU,0.362029276,Russia (RU)
Boxing,SE,0.209458136,Sweden (SE)
Boxing,UA,0.070231882,Ukraine (UA)
Boxing,US,0.222319818,United States (US)
Boxing,UZ,1.146064287,Uzbekistan (UZ)
Boxing,ZA,0.01853389,South Africa (ZA)
Canoeing,AR,0.029066825,Argentina (AR)
Canoeing,AU,0.291056645,Australia (AU)
Canoeing,BR,0.337362869,Brazil (BR)
Canoeing,CA,0.287266154,Canada (CA)
Canoeing,CH,0.02118923,Switzerland (CH)
Canoeing,CO,0.007388524,Colombia (CO)
Canoeing,DE,0.268168452,Germany (DE)
Canoeing,DK,2.203541868,Denmark (DK)
Canoeing,ES,1.204977303,Spain (ES)
Canoeing,FR,0.251447628,France (FR)
Canoeing,GB,0.108832486,Great Britain (GB)
Canoeing,HU,2.616986013,Hungary (HU)
Canoeing,IT,0.032901887,Italy (IT)
Canoeing,NL,0.006040706,Netherlands (NL)
Canoeing,NZ,3.376152516,New Zealand (NZ)
Canoeing,RU,0.035588925,Russia (RU)
Canoeing,SE,0.130654349,Sweden (SE)
Canoeing,UA,0.406956604,Ukraine (UA)
Canoeing,US,0.01715086,United States (US)
Canoeing,ZA,0.03410616,South Africa (ZA)
Cycling,AR,0.291068108,Argentina (AR)
Cycling,AU,1.6247677,Australia (AU)
Cycling,BR,0.230244315,Brazil (BR)
Cycling,CA,0.787274255,Canada (CA)
Cycling,CH,2.635115348,Switzerland (CH)
Cycling,CO,10.83713643,Colombia (CO)
Cycling,DE,1.02545036,Germany (DE)
Cycling,DK,3.559435799,Denmark (DK)
Cycling,ES,0.91409633,Spain (ES)
Cycling,FR,1.612482248,France (FR)
Cycling,GB,9.285932655,Great Britain (GB)
Cycling,GR,0.39622432,Greece (GR)
Cycling,HR,0.5333927,Croatia (HR)
Cycling,HU,0.543435915,Hungary (HU)
Cycling,IR,0.12948947,Iran (IR)
Cycling,IT,2.246836425,Italy (IT)
Cycling,JP,0.14815738,Japan (JP)
Cycling,KZ,0.026408441,Kazakhstan (KZ)
Cycling,KE,0.035468509,Kenya (KE)
Cycling,KR,0.087368244,South Korea (KR)
Cycling,NL,5.67595608,Netherlands (NL)
Cycling,NZ,1.48618465,New Zealand (NZ)
Cycling,RU,0.089855136,Russia (RU)
Cycling,SE,1.302613152,Sweden (SE)
Cycling,UA,0.050858502,Ukraine (UA)
Cycling,US,0.54932235,United States (US)
Cycling,ZA,0.654551163,South Africa (ZA)
Diving,AR,0.670079927,Argentina (AR)
Diving,AU,1.065759347,Australia (AU)
Diving,BR,1.626802309,Brazil (BR)
Diving,CA,2.094748091,Canada (CA)
Diving,CH,1.155783435,Switzerland (CH)
Diving,CO,0.985703069,Colombia (CO)
Diving,CU,2.172593193,Cuba (CU)
Diving,DE,0.657981342,Germany (DE)
Diving,DK,0.794689443,Denmark (DK)
Diving,ES,1.146310911,Spain (ES)
Diving,FR,0.408115682,France (FR)
Diving,GB,3.900711476,Great Britain (GB)
Diving,GR,0.531144765,Greece (GR)
Diving,HR,0.701188941,Croatia (HR)
Diving,HU,0.665925468,Hungary (HU)
Diving,IR,0.037083357,Iran (IR)
Diving,IT,6.023918402,Italy (IT)
Diving,JM,0.225970024,Jamaica (JM)
Diving,JP,0.183097429,Japan (JP)
Diving,KZ,0.026399546,Kazakhstan (KZ)
Diving,KE,0.088641017,Kenya (KE)
Diving,KR,0.119134859,South Korea (KR)
Diving,NL,0.701818311,Netherlands (NL)
Diving,NZ,1.054512676,New Zealand (NZ)
Diving,RU,0.096322544,Russia (RU)
Diving,SE,0.639088933,Sweden (SE)
Diving,UA,0.130759376,Ukraine (UA)
Diving,US,1.363864021,United States (US)
Diving,ZA,0.636612024,South Africa (ZA)
Equestrian,AR,0.033569508,Argentina (AR)
Equestrian,AU,0.484869471,Australia (AU)
Equestrian,BR,0.086282381,Brazil (BR)
Equestrian,CA,0.283482963,Canada (CA)
Equestrian,CH,0.715287446,Switzerland (CH)
Equestrian,CO,0.036469727,Colombia (CO)
Equestrian,DE,1.735248885,Germany (DE)
Equestrian,DK,0.438711326,Denmark (DK)
Equestrian,ES,0.194489569,Spain (ES)
Equestrian,FR,0.625495602,France (FR)
Equestrian,GB,1.417860488,Great Britain (GB)
Equestrian,GR,0.045023696,Greece (GR)
Equestrian,HR,0.079254127,Croatia (HR)
Equestrian,HU,0.055352122,Hungary (HU)
Equestrian,IR,0.011601049,Iran (IR)
Equestrian,IT,0.139430332,Italy (IT)
Equestrian,JP,0.033716942,Japan (JP)
Equestrian,NL,1.392223277,Netherlands (NL)
Equestrian,NZ,1.496190925,New Zealand (NZ)
Equestrian,RU,0.003911217,Russia (RU)
Equestrian,SE,0.989829786,Sweden (SE)
Equestrian,US,0.115484791,United States (US)
Equestrian,ZA,0.065303047,South Africa (ZA)
Fencing,AR,0.069427961,Argentina (AR)
Fencing,AU,0.045247152,Australia (AU)
Fencing,BR,0.090181594,Brazil (BR)
Fencing,CA,0.115923934,Canada (CA)
Fencing,CH,0.455381873,Switzerland (CH)
Fencing,CO,0.068526083,Colombia (CO)
Fencing,DE,0.096218347,Germany (DE)
Fencing,DK,0.057623918,Denmark (DK)
Fencing,ES,0.050162815,Spain (ES)
Fencing,FR,0.712184487,France (FR)
Fencing,GB,0.150329422,Great Britain (GB)
Fencing,GR,0.331837892,Greece (GR)
Fencing,HR,0.119872596,Croatia (HR)
Fencing,HU,7.857179093,Hungary (HU)
Fencing,IR,0.804860976,Iran (IR)
Fencing,IT,3.097658061,Italy (IT)
Fencing,JP,0.008156026,Japan (JP)
Fencing,KZ,0.21906949,Kazakhstan (KZ)
Fencing,KE,0.044439789,Kenya (KE)
Fencing,KR,0.50848279,South Korea (KR)
Fencing,NL,0.122341909,Netherlands (NL)
Fencing,NZ,0.022966715,New Zealand (NZ)
Fencing,RU,0.971162789,Russia (RU)
Fencing,SE,0.048782059,Sweden (SE)
Fencing,UA,0.353818491,Ukraine (UA)
Fencing,US,0.195862767,United States (US)
Fencing,UZ,0.24965152,Uzbekistan (UZ)
Fencing,ZA,0.029238459,South Africa (ZA)
Field hockey,AR,1.712874178,Argentina (AR)
Field hockey,AU,0.21572467,Australia (AU)
Field hockey,BR,0.023637858,Brazil (BR)
Field hockey,CA,0.03386934,Canada (CA)
Field hockey,CH,0.029372528,Switzerland (CH)
Field hockey,CO,0.017885957,Colombia (CO)
Field hockey,DE,0.167519665,Germany (DE)
Field hockey,DK,0.037008913,Denmark (DK)
Field hockey,ES,0.077051722,Spain (ES)
Field hockey,FR,0.056414254,France (FR)
Field hockey,GB,0.892305933,Great Britain (GB)
Field hockey,GR,0.024617573,Greece (GR)
Field hockey,HU,0.019249158,Hungary (HU)
Field hockey,IT,0.029798178,Italy (IT)
Field hockey,JP,0.005745992,Japan (JP)
Field hockey,NL,3.350845354,Netherlands (NL)
Field hockey,NZ,0.895384421,New Zealand (NZ)
Field hockey,RU,0.003254292,Russia (RU)
Field hockey,SE,0.034710647,Sweden (SE)
Field hockey,US,0.053862827,United States (US)
Field hockey,ZA,0.069205254,South Africa (ZA)
Football (Soccer),AR,2.296541372,Argentina (AR)
Football (Soccer),AU,1.067493884,Australia (AU)
Football (Soccer),BR,5.259458432,Brazil (BR)
Football (Soccer),CA,2.541996686,Canada (CA)
Football (Soccer),CH,1.002906578,Switzerland (CH)
Football (Soccer),CO,2.536531006,Colombia (CO)
Football (Soccer),CU,4.370833513,Cuba (CU)
Football (Soccer),DE,2.188663234,Germany (DE)
Football (Soccer),DK,1.364186344,Denmark (DK)
Football (Soccer),ES,1.317977418,Spain (ES)
Football (Soccer),FR,1.73683188,France (FR)
Football (Soccer),GB,1.014468165,Great Britain (GB)
Football (Soccer),GR,1.316116634,Greece (GR)
Football (Soccer),HR,0.945888618,Croatia (HR)
Football (Soccer),HU,0.823069841,Hungary (HU)
Football (Soccer),IR,0.778244359,Iran (IR)
Football (Soccer),IT,1.547612485,Italy (IT)
Football (Soccer),JM,2.709839672,Jamaica (JM)
Football (Soccer),JP,0.640196653,Japan (JP)
Football (Soccer),KZ,0.594131496,Kazakhstan (KZ)
Football (Soccer),KE,2.152811189,Kenya (KE)
Football (Soccer),KR,1.181814027,South Korea (KR)
Football (Soccer),NL,0.587661999,Netherlands (NL)
Football (Soccer),NZ,1.151716523,New Zealand (NZ)
Football (Soccer),RU,0.222098108,Russia (RU)
Football (Soccer),SE,6.426515746,Sweden (SE)
Football (Soccer),UA,0.20992961,Ukraine (UA)
Football (Soccer),US,2.265170526,United States (US)
Football (Soccer),UZ,1.206296323,Uzbekistan (UZ)
Football (Soccer),ZA,2.009968929,South Africa (ZA)
Golf,AR,0.146086065,Argentina (AR)
Golf,AU,0.2364232,Australia (AU)
Golf,BR,0.029024153,Brazil (BR)
Golf,CA,0.678442152,Canada (CA)
Golf,CH,0.125646474,Switzerland (CH)
Golf,CO,0.085092243,Colombia (CO)
Golf,DE,0.321887782,Germany (DE)
Golf,DK,0.348299393,Denmark (DK)
Golf,ES,0.255442061,Spain (ES)
Golf,FR,0.113665433,France (FR)
Golf,GB,0.623911434,Great Britain (GB)
Golf,GR,0.020209504,Greece (GR)
Golf,IT,0.111561574,Italy (IT)
Golf,JP,0.22885284,Japan (JP)
Golf,KR,0.60582845,South Korea (KR)
Golf,NL,0.309113986,Netherlands (NL)
Golf,NZ,1.365769762,New Zealand (NZ)
Golf,RU,0.009776948,Russia (RU)
Golf,SE,2.733670615,Sweden (SE)
Golf,UA,0.007163973,Ukraine (UA)
Golf,US,0.393773634,United States (US)
Golf,ZA,0.235158406,South Africa (ZA)
Handball,AR,0.328863707,Argentina (AR)
Handball,BR,0.280335719,Brazil (BR)
Handball,CA,0.006727417,Canada (CA)
Handball,CH,0.139260396,Switzerland (CH)
Handball,DE,0.358833448,Germany (DE)
Handball,DK,3.292052509,Denmark (DK)
Handball,ES,0.469264031,Spain (ES)
Handball,FR,1.595814985,France (FR)
Handball,GB,0.019063797,Great Britain (GB)
Handball,HR,1.546129612,Croatia (HR)
Handball,HU,0.106251774,Hungary (HU)
Handball,IT,0.0591876,Italy (IT)
Handball,KR,0.06934321,South Korea (KR)
Handball,NL,2.422597654,Netherlands (NL)
Handball,RU,0.038320139,Russia (RU)
Handball,SE,1.323719613,Sweden (SE)
Handball,US,0.012152625,United States (US)
